n_txns,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,total_deposit_amount,total_borrow_amount,total_repay_amount,avg_txn_amount,active_days,asset_diversity,borrow_to_repay_ratio,rule_score
1,1,0,0,0,0,2e-09,0.0,0.0,2e-09,1,1,0.0,562.36
1,1,0,0,0,0,145.0,0.0,0.0,145.0,1,1,0.0,568.61
2,2,0,0,0,0,0.005,0.0,0.0,0.0025,2,1,0.0,563.15
17,0,0,0,17,0,0.0,0.0,0.0,0.28442924293334815,8,4,0.0,567.84
399,250,15,4,130,0,94593.65814707709,39460.00000007,7.002457285e-08,434.8852554983178,104,6,1.7745710301090017e-12,661.72
25,7,8,5,5,0,10609.6172676103,1.1605e-08,1.1613645226e-08,424.47672612291973,15,5,0.011480415009811144,591.35
8,8,0,0,0,0,0.04542699271260783,0.0,0.0,0.005678374089075979,4,7,0.0,564.77
492,309,30,16,137,0,274188.27529682685,86339.78978750132,336.81345309004865,1109.254309229092,108,7,0.0039010223897360625,679.69
1,1,0,0,0,0,0.09264749382774973,0.0,0.0,0.09264749382774973,1,1,0.0,562.47
1,1,0,0,0,0,1.797442e-12,0.0,0.0,1.797442e-12,1,1,0.0,562.36
69,26,24,9,10,0,800548.0506185252,597948.0506185252,599179.5354062131,40571.448584575635,3,1,1.0020595180223633,646.7
47,12,12,12,11,0,2703467.5765792667,1204488.6209729237,1204677.9586262696,166309.1582752502,2,4,1.0001571933923235,650.66
250,86,62,45,57,0,20002.005385893193,21000.000001237226,1179.8988409671992,168.73164393981867,19,8,0.05618565908769044,642.74
297,107,66,63,61,0,2330089.260931602,2527773.525784642,1774243.3097249,28632.29999794964,61,7,0.7018996328689922,739.73
28,11,4,1,9,3,38762.8792744121,23100.00000000175,23100.038412828126,4821.592209523189,12,7,1.0000016628496267,556.17
1,1,0,0,0,0,1.690049e-12,0.0,0.0,1.690049e-12,1,1,0.0,562.36
4,0,0,0,4,0,0.0,0.0,0.0,1.3348529576750001e-08,4,2,0.0,564.71
147,27,47,45,28,0,875.3846698080165,588795.000001783,426742.8693098021,6917.935852086808,35,7,0.7247732560700838,690.78
2,1,0,0,1,0,0.14471757177770855,0.0,0.0,0.14471856069988717,2,1,0.0,563.31
1,1,0,0,0,0,1.109908e-12,0.0,0.0,1.109908e-12,1,1,0.0,562.36
14,3,1,0,10,0,2.500000001947075,1417.0933200616298,0.0,207.75396024924115,8,4,0.0,569.41
29,9,6,7,7,0,198.39016972490037,300.00000000083065,300.4109486320188,28.28359131639294,11,6,1.001369825432724,640.33
2,2,0,0,0,0,0.012652993450826145,0.0,0.0,0.0063264967254130725,2,1,0.0,563.16
1,1,0,0,0,0,1.0080314238445638,0.0,0.0,1.0080314238445638,1,1,0.0,563.24
2,2,0,0,0,0,1.0104390000000001e-12,0.0,0.0,5.052195000000001e-13,2,1,0.0,563.15
4,1,1,1,1,0,5000.0,1.3,1.3,2500.6499999999996,1,2,0.9999992307698226,629.89
37,12,5,0,20,0,18.200000002238802,9.15968086e-10,0.0,14.478132166834552,20,6,0.0,580.93
2,1,0,0,1,0,1.050025562e-09,0.0,0.0,1.0500256795e-09,1,1,0.0,562.36
24,8,6,5,5,0,2.034568202e-09,1.9450000000000002e-09,1.396327014e-09,2.7927135991666664e-10,6,2,0.0013936164300435655,571.89
10,2,3,1,4,0,9.9909e-10,5.07497107e-10,5.12437824e-10,3.2303060829999996e-10,6,2,0.0005121778951999167,567.42
2,1,1,0,0,0,0.8458931552812314,5e-10,0.0,0.42294657789061574,1,2,0.0,563.13
6,2,1,1,2,0,25.0,16.0,16.0,13.666665,1,1,0.9999999375000038,623.3
7,1,1,1,4,0,0.29350141,5.92247574e-10,5.922972e-10,14.736597132767429,2,4,0.0005919466210497459,564.62
1,1,0,0,0,0,1.064772e-12,0.0,0.0,1.064772e-12,1,1,0.0,562.36
1,1,0,0,0,0,1.3,0.0,0.0,1.3,1,1,0.0,563.41
2,2,0,0,0,0,3.0,0.0,0.0,1.5,2,1,0.0,564.88
2,2,0,0,0,0,0.004712595639187231,0.0,0.0,0.0023562978195936155,2,1,0.0,563.15
1,1,0,0,0,0,0.041,0.0,0.0,0.041,1,1,0.0,562.41
12,4,2,2,4,0,2.76526904e-10,1.6e-10,1.6008227399999999e-10,7.277989708333333e-11,4,2,0.00016005666493361061,566.92
43,18,8,5,12,0,19281.445079779707,48.00000001338327,1.3385125834000001e-08,1210.2447431869307,10,5,2.788567823210667e-10,587.27
2,1,1,0,0,0,0.1,0.01,0.0,0.055,1,1,0.0,562.48
77,49,0,0,28,0,220.02139414592372,0.0,0.0,5.076690859644886,35,8,0.0,595.74
4,1,1,1,1,0,15000.0,2356.0,2356.0,8678.0,1,2,0.9999999995755519,631.27
71,20,20,17,14,0,0.07132457629292883,9.71e-10,9.215163380000001e-10,0.0019387703155242825,32,4,0.0009206224136363593,605.47
6,4,1,1,0,0,200.272,4e-11,4.010815e-11,33.37866666668001,3,2,4.010654573817047e-05,571.68
1,1,0,0,0,0,0.001,0.0,0.0,0.001,1,1,0.0,562.36
1,1,0,0,0,0,0.1,0.0,0.0,0.1,1,1,0.0,562.48
8,1,3,2,2,0,0.2825690193363728,8.79e-10,5.01890779e-10,0.03532112765241925,4,3,0.000501450004446092,567.26
8,6,0,0,2,0,2.1326172385140287,0.0,0.0,0.3990781766451981,7,2,0.0,568.49
10,5,2,2,1,0,383.70844204479516,2.16908607e-10,2.1704802499999998e-10,38.37084420454965,5,2,0.0002170009556249977,575.17
22,8,6,4,4,0,18.11265598809861,3.5e-11,3.5002269e-11,0.8284232718622504,3,3,3.500104396346128e-05,572.03
1,1,0,0,0,0,1.2,0.0,0.0,1.2,1,1,0.0,563.35
2,1,0,0,1,0,56.0,0.0,0.0,56.046171763714256,2,2,0.0,568.21
25,7,6,3,9,0,9.284729019012138,1.76e-08,1.7614321012999998e-08,36.66689226745603,6,4,0.017309670806800313,573.88
73,26,19,13,15,0,40826323.5352715,34310340.19342126,34316052.3316077,2057673.7106643694,3,5,1.0001664844520117,655.95
96,32,30,17,17,0,1529.6965019179293,793.5281590685303,793.5551142167783,48.40144177342126,2,2,1.0000339674753895,646.78
8,3,1,1,3,0,593.2331634086889,140.0,140.04910116409684,152.91028307159823,4,2,1.0003507154553295,629.58
4,1,1,1,1,0,4500.0,739.0,739.0,2619.5,1,2,0.99999999864682,629.76
4,2,1,1,0,0,236.75989569912272,2.608976e-12,2.608976e-12,59.18997392478199,1,2,2.60896919326199e-06,570.32
2,2,0,0,0,0,3.0,0.0,0.0,1.5,2,1,0.0,564.88
231,101,24,93,11,2,11486.621116412447,4923.462755855,933.385959030951,75.11939351054424,31,7,0.18957916513766368,657.18
1,0,0,0,1,0,0.0,0.0,0.0,0.005000954281830769,1,1,0.0,562.36
1,1,0,0,0,0,0.0926,0.0,0.0,0.0926,1,1,0.0,562.47
2,2,0,0,0,0,2.455392e-12,0.0,0.0,1.227696e-12,2,1,0.0,563.15
36,10,6,9,11,0,169.93360966012304,1.8156827223999997e-08,1.8162323502999995e-08,9.440816609692241,12,3,0.017838434136437986,588.73
30,19,2,0,9,0,4140.69156227058,943.3796318126906,0.0,241.87469064853366,18,5,0.0,586.11
19,10,7,0,2,0,1437.821754944003,475.5336760005915,0.0,157.19081215497863,9,5,0.0,577.74
2,1,0,0,1,0,1.4127252e-11,0.0,0.0,1.4127264000000001e-11,1,1,0.0,562.36
2,1,1,0,0,0,0.0221,0.005,0.0,0.013550000000000001,1,1,0.0,562.39
1,1,0,0,0,0,0.0963,0.0,0.0,0.0963,1,1,0.0,562.48
